# Invalid/Skipped Entries
#adsandtrackusersacross # Invalid Syntax or TLD
#andpotentiallyothersites # Invalid Syntax or TLD
#andsomedistributeadwareandspyware # Invalid Syntax or TLD
#logallsucherrors # Invalid Syntax or TLD
#maybreakiosgamecenter # Invalid Syntax or TLD
#messageboardspamandareunlikelytoberealsites # Invalid Syntax or TLD
#mistypedurlstosearchengines.they # Invalid Syntax or TLD
#problemswithnpr.org # Invalid Syntax or TLD
#thecom.comfamilyofsites # Invalid Syntax or TLD
#upcssonlivejournal # Invalid Syntax or TLD
#urlstotheirsite # Invalid Syntax or TLD
#videoonsitessuchascbc.ca # Invalid Syntax or TLD
255.255.255.255broadcasthost # Invalid Syntax or TLD
ad-server.co.za # Invalid Syntax or TLD
ads.apn.co.za # Invalid Syntax or TLD
ads1.jev.co.za # Invalid Syntax or TLD
adservice.google.co.za # Invalid Syntax or TLD
adsfeed3.brabys.co.za # Invalid Syntax or TLD
adsrv.iol.co.za # Invalid Syntax or TLD
advert.ananzi.co.za # Invalid Syntax or TLD
advert2.ananzi.co.za # Invalid Syntax or TLD
allpornimages.com.home # Invalid Syntax or TLD
anyporn.pic # Invalid Syntax or TLD
apiv2.tik.porn.home # Invalid Syntax or TLD
ar.stripchat.global.asus # Invalid Syntax or TLD
areyouready.co.za # Invalid Syntax or TLD
bet.co.za # Invalid Syntax or TLD
betflash.co.za # Invalid Syntax or TLD
bettingworld.co.za # Invalid Syntax or TLD
betxchange.co.za # Invalid Syntax or TLD
c.pornxp.me.home # Invalid Syntax or TLD
ca.pornxp.me.home # Invalid Syntax or TLD
cdn.sex4arab.xxx.home # Invalid Syntax or TLD
cdn0.porn7.xxx.asus # Invalid Syntax or TLD
cdn0.sexm.xxx.home # Invalid Syntax or TLD
cdn1.animehentaivideos.xxx.asus # Invalid Syntax or TLD
cdn1.sexvideo12.com.asus # Invalid Syntax or TLD
cdn2.hdporn.pics.home # Invalid Syntax or TLD
cdn3.hdporn.pics.home # Invalid Syntax or TLD
cdn5.hdpornmovies.xxx.asus # Invalid Syntax or TLD
cdn5.sexvideo12.com.asus # Invalid Syntax or TLD
cdn5.xxxvideor.com.asus # Invalid Syntax or TLD
cdn6.hdporn.pics.home # Invalid Syntax or TLD
cdn6.pornv.xxx.asus # Invalid Syntax or TLD
cdn6.sexfreehd.xxx.asus # Invalid Syntax or TLD
cdn7.hdporn.pics.home # Invalid Syntax or TLD
cdn7.porn-hd.xxx.asus # Invalid Syntax or TLD
cdn77-pic.xnxx-cdn.com.home # Invalid Syntax or TLD
cdn77-vid-mp4.xnxx-cdn.com.asus # Invalid Syntax or TLD
cdn77-vid-mp4.xnxx-cdn.com.home # Invalid Syntax or TLD
cdn9.ujizz.xxx.asus # Invalid Syntax or TLD
cdn9n.xxxbox.me.home # Invalid Syntax or TLD
communisave.co.za # Invalid Syntax or TLD
cumm.co.za # Invalid Syntax or TLD
dexios.co.za # Invalid Syntax or TLD
fe80::1%lo0localhost # Invalid Syntax or TLD
fevian.orgdojin # Invalid Syntax or TLD
ff00::0ip6-localnet # Invalid Syntax or TLD
ff00::0ip6-mcastprefix # Invalid Syntax or TLD
ff02::1ip6-allnodes # Invalid Syntax or TLD
ff02::2ip6-allrouters # Invalid Syntax or TLD
ff02::3ip6-allhosts # Invalid Syntax or TLD
freakyza.co.za # Invalid Syntax or TLD
gcore-pic.xvideos-cdn.com.asus # Invalid Syntax or TLD
go.stripchat.global.asus # Invalid Syntax or TLD
hdporn.pics.home # Invalid Syntax or TLD
hdroom.xxx.home # Invalid Syntax or TLD
hqpornvidz.com.asus # Invalid Syntax or TLD
http.pornxp.me.home # Invalid Syntax or TLD
https.pornxp.me.home # Invalid Syntax or TLD
i.pornxp.me.home # Invalid Syntax or TLD
img-egc.xnxx-cdn.com.home # Invalid Syntax or TLD
imzansi.co.za # Invalid Syntax or TLD
interbet.co.za # Invalid Syntax or TLD
ip6-localhost # Invalid Syntax or TLD
ip6-loopback # Invalid Syntax or TLD
justbet.co.za # Invalid Syntax or TLD
l.pornxp.me.home # Invalid Syntax or TLD
lindenappliances.co.za # Invalid Syntax or TLD
livemonitor.co.za # Invalid Syntax or TLD
local # Invalid Syntax or TLD
localhost # Invalid Syntax or TLD
localhost.localdomain # Invalid Syntax or TLD
mbet.co.za # Invalid Syntax or TLD
megapornoconchicasputas2013.blogspot.co.za # Invalid Syntax or TLD
mlookalporno.com.home # Invalid Syntax or TLD
mzansiporns.co.za # Invalid Syntax or TLD
nationallottery.co.za # Invalid Syntax or TLD
newsnow.co.za # Invalid Syntax or TLD
nfi.org.za # Invalid Syntax or TLD
officialcarrolboyes.co.za # Invalid Syntax or TLD
onlyhardporn.mobi.home # Invalid Syntax or TLD
pgl.example0101 # Invalid Syntax or TLD
phtyxxxirlmqjx.home # Invalid Syntax or TLD
playtube.co.za # Invalid Syntax or TLD
pocopa.co.za # Invalid Syntax or TLD
porn-data.info.home # Invalid Syntax or TLD
porn-hub.live.home # Invalid Syntax or TLD
pornoohd.xy # Invalid Syntax or TLD
pornozavr.net.home # Invalid Syntax or TLD
pornsites.xx # Invalid Syntax or TLD
pyserive.goodgarysmartprojects.co.za # Invalid Syntax or TLD
quickandeasy.co.za # Invalid Syntax or TLD
sex4arab.xxx.home # Invalid Syntax or TLD
southernsoaringclub.org.za # Invalid Syntax or TLD
spaceframe.mobi.space-frame.co.za # Invalid Syntax or TLD
sportsbet.co.za # Invalid Syntax or TLD
static-cdn77.xnxx-cdn.com.home # Invalid Syntax or TLD
static.pornhat.com.home # Invalid Syntax or TLD
stats.absol.co.za # Invalid Syntax or TLD
stats.itweb.co.za # Invalid Syntax or TLD
tabgold.co.za # Invalid Syntax or TLD
theporndude.com.home # Invalid Syntax or TLD
theswimshop.co.za # Invalid Syntax or TLD
tik.porn.home # Invalid Syntax or TLD
tn.vxxx.com.home # Invalid Syntax or TLD
upornia.com.home # Invalid Syntax or TLD
usbetting.co.za # Invalid Syntax or TLD
videosbang.mobil # Invalid Syntax or TLD
videoxxxxx.comde # Invalid Syntax or TLD
vxxx.com.home # Invalid Syntax or TLD
vxxx.skinde # Invalid Syntax or TLD
website.mypetapp.co.za # Invalid Syntax or TLD
worldofsport.co.za # Invalid Syntax or TLD
worldsportsbetting.co.za # Invalid Syntax or TLD
www.24pornload.com.home # Invalid Syntax or TLD
www.aflmxnxx.com.home # Invalid Syntax or TLD
www.bet.co.za # Invalid Syntax or TLD
www.betflash.co.za # Invalid Syntax or TLD
www.bettingworld.co.za # Invalid Syntax or TLD
www.betxchange.co.za # Invalid Syntax or TLD
www.communisave.co.za # Invalid Syntax or TLD
www.cumm.co.za # Invalid Syntax or TLD
www.freearabianporn.com.home # Invalid Syntax or TLD
www.gulfsexxx.com.home # Invalid Syntax or TLD
www.gulfsexxx.com.totolink # Invalid Syntax or TLD
www.interbet.co.za # Invalid Syntax or TLD
www.javbangers.comj # Invalid Syntax or TLD
www.justbet.co.za # Invalid Syntax or TLD
www.mbet.co.za # Invalid Syntax or TLD
www.myadsl.co.za # Invalid Syntax or TLD
www.nationallottery.co.za # Invalid Syntax or TLD
www.nfi.org.za # Invalid Syntax or TLD
www.officialcarrolboyes.co.za # Invalid Syntax or TLD
www.peoplemagazine.co.za # Invalid Syntax or TLD
www.playtown.co.za # Invalid Syntax or TLD
www.porndotcom.org.home # Invalid Syntax or TLD
www.pornhub.com.home # Invalid Syntax or TLD
www.pyserive.goodgarysmartprojects.co.za # Invalid Syntax or TLD
www.savemapungubwe.org.za # Invalid Syntax or TLD
www.southernsoaringclub.org.za # Invalid Syntax or TLD
www.sportsbet.co.za # Invalid Syntax or TLD
www.tabgold.co.za # Invalid Syntax or TLD
www.theearthchild.co.za # Invalid Syntax or TLD
www.usbetting.co.za # Invalid Syntax or TLD
www.website.mypetapp.co.za # Invalid Syntax or TLD
www.worldofsport.co.za # Invalid Syntax or TLD
www.worldsportsbetting.co.za # Invalid Syntax or TLD
www.xnxx.cim # Invalid Syntax or TLD
www.xnxx.com.home # Invalid Syntax or TLD
www.xnxx.tv.home # Invalid Syntax or TLD
www.xnxxsks.com.home # Invalid Syntax or TLD
www.xxxpornxxx.net.asus # Invalid Syntax or TLD
www.xxxvideor.com.asus # Invalid Syntax or TLD
xn--80afden1bnch4a.xn--p1ai # Invalid Syntax or TLD
xn--90abegbttpjb3bzb2j.xn--p1ai # Invalid Syntax or TLD
xn--b1afiqif6c.xn--p1ai # Invalid Syntax or TLD
xnxx.som # Invalid Syntax or TLD
xnxx1.info.home # Invalid Syntax or TLD
xnxxcom.xy # Invalid Syntax or TLD
xnxxme.com.home # Invalid Syntax or TLD
xnxxsex.net.home # Invalid Syntax or TLD
xnxxx.info.home # Invalid Syntax or TLD
yimcaixxxxyenx.home # Invalid Syntax or TLD
yona-yethuu.co.za # Invalid Syntax or TLD
zazporn.com.home # Invalid Syntax or TLD
