# Auto-Generated Keyword Suggestions
# Generated: 2026-01-06 19:41:55

--- CATEGORY: ADS ---
  esomniture           (Score: 65)
  tremorhub            (Score: 56)
  mydas                (Score: 41)
  data                 (Score: 39)
  heytapmobile         (Score: 35)
  yahoo                (Score: 32)
  heytapmobi           (Score: 27)
  amazonaws            (Score: 24)
  east                 (Score: 21)
  banners              (Score: 20)
  zalo                 (Score: 18)
  misstrends           (Score: 18)
  oppomobile           (Score: 17)
  rubiconproject       (Score: 15)
  google               (Score: 14)
  west                 (Score: 13)
  adhese               (Score: 12)
  adtech               (Score: 11)
  adaptv               (Score: 11)
  static               (Score: 10)

--- CATEGORY: ADULT ---
  ahcdn                (Score: 4041)
  porno                (Score: 1404)
  video                (Score: 945)
  videos               (Score: 767)
  cdn1                 (Score: 735)
  cdn2                 (Score: 678)
  static               (Score: 655)
  free                 (Score: 649)
  cdn3                 (Score: 621)
  xvideos              (Score: 594)
  booru                (Score: 519)
  live                 (Score: 459)
  zproxy               (Score: 441)
  mtree                (Score: 427)
  blog                 (Score: 420)
  angels               (Score: 414)
  dditscdn             (Score: 363)
  cdn4                 (Score: 360)
  bongacams            (Score: 360)
  img2                 (Score: 345)

--- CATEGORY: ALCOHOL ---
  wistia               (Score: 1)

--- CATEGORY: BANKING ---
  legend               (Score: 4)
  arrow                (Score: 4)
  phantom              (Score: 4)
  union                (Score: 2)
  figo                 (Score: 2)
  horizon              (Score: 2)
  alpha                (Score: 2)
  offer                (Score: 2)
  loan                 (Score: 2)
  rolian               (Score: 2)
  solution             (Score: 2)
  shengen              (Score: 2)
  sprint               (Score: 2)
  monetary             (Score: 2)
  exchange             (Score: 2)
  izzi                 (Score: 2)
  appai                (Score: 2)
  application          (Score: 2)
  portfolio            (Score: 2)
  friend               (Score: 1)

--- CATEGORY: CHAT ---
  open                 (Score: 4)
  igexin               (Score: 3)
  netgain              (Score: 2)
  wmail                (Score: 2)
  alpharion            (Score: 2)
  bideo                (Score: 2)
  trade                (Score: 2)
  zalo                 (Score: 2)
  immediate            (Score: 2)
  manerix              (Score: 2)
  advertising          (Score: 2)
  fairu                (Score: 2)
  kinrixfinengine      (Score: 2)
  ahoravideo           (Score: 2)
  privatproxy          (Score: 2)
  girls                (Score: 1)
  banner               (Score: 1)
  gepush               (Score: 1)
  getui                (Score: 1)
  effectivebrand       (Score: 1)

--- CATEGORY: CRYPTO ---
  loot                 (Score: 14)
  hive                 (Score: 11)
  trackfinanceworld    (Score: 9)
  olux                 (Score: 6)
  bumex                (Score: 6)
  lexipro              (Score: 6)
  blunex               (Score: 4)
  eprex                (Score: 4)
  drevola              (Score: 4)
  engine               (Score: 4)
  lexi                 (Score: 4)
  profit               (Score: 3)
  storm                (Score: 2)
  id465456             (Score: 2)
  stackstaging         (Score: 2)
  byrq                 (Score: 2)
  omanetrix            (Score: 2)
  klutz                (Score: 2)
  yield                (Score: 2)
  forge                (Score: 2)

--- CATEGORY: DATING ---
  taboola              (Score: 7)
  sharethrough         (Score: 3)
  deepintent           (Score: 2)
  affiliates           (Score: 2)
  adrtx                (Score: 2)
  adstax               (Score: 2)
  easy                 (Score: 2)
  xg4ken               (Score: 1)
  adsrvr               (Score: 1)
  rundsp               (Score: 1)
  media                (Score: 1)
  apsoutheast          (Score: 1)
  cityads              (Score: 1)
  banners              (Score: 1)
  seesaa               (Score: 1)
  southeast            (Score: 1)
  prod                 (Score: 1)
  bidr                 (Score: 1)
  prebid               (Score: 1)
  dotomi               (Score: 1)

--- CATEGORY: DRUGS ---
  hut1                 (Score: 1)
  diet                 (Score: 1)
  shengen              (Score: 1)
  testing              (Score: 1)

--- CATEGORY: EDUCATION ---
  heidrun              (Score: 6)
  workers              (Score: 6)
  smailus              (Score: 6)
  teky                 (Score: 3)
  mautic               (Score: 3)
  figure               (Score: 2)
  bitcoin              (Score: 2)
  yachting             (Score: 2)
  grab                 (Score: 2)
  analytics            (Score: 2)
  hubspot              (Score: 2)
  mars                 (Score: 2)
  littoral             (Score: 1)
  aanalytics           (Score: 1)
  adelaide             (Score: 1)
  summer               (Score: 1)
  ntua                 (Score: 1)
  inter                (Score: 1)
  xidian               (Score: 1)
  internet             (Score: 1)

--- CATEGORY: FILESHARING ---
  free                 (Score: 6)
  inboxace             (Score: 2)
  weatherblink         (Score: 2)
  shares               (Score: 2)
  adtech               (Score: 2)
  apps                 (Score: 2)
  pdf00                (Score: 2)
  media                (Score: 2)
  share365             (Score: 2)
  televisionfanatic    (Score: 2)
  mclick               (Score: 2)
  breeze               (Score: 2)
  buttons              (Score: 2)
  static               (Score: 2)
  gamefeat             (Score: 1)
  yesmessenger         (Score: 1)
  mobpowertech         (Score: 1)
  cnet                 (Score: 1)
  admicro              (Score: 1)
  sanalytics           (Score: 1)

--- CATEGORY: GAMBLING ---
  play                 (Score: 153)
  lotto                (Score: 121)
  debet                (Score: 96)
  sin88                (Score: 87)
  go88                 (Score: 81)
  red88                (Score: 78)
  miso88               (Score: 78)
  csgo                 (Score: 76)
  lucky88              (Score: 72)
  nbet                 (Score: 66)
  sky88                (Score: 63)
  bong99               (Score: 60)
  8live                (Score: 57)
  11bet                (Score: 57)
  one88                (Score: 54)
  top88                (Score: 51)
  five88               (Score: 51)
  fabet                (Score: 48)
  vn88                 (Score: 48)
  affiliate            (Score: 48)

--- CATEGORY: GAMES ---
  vinted               (Score: 4)
  series               (Score: 4)
  online               (Score: 4)
  advertising          (Score: 4)
  lotto                (Score: 2)
  kasyno               (Score: 2)
  hotngay              (Score: 2)
  case                 (Score: 2)
  konsola              (Score: 2)
  87265157726gg6625518999 (Score: 2)
  smetrics             (Score: 2)
  apps                 (Score: 2)
  zing                 (Score: 2)
  metrics              (Score: 2)
  vulkan               (Score: 2)
  vegas                (Score: 2)
  leadzu               (Score: 2)
  insight              (Score: 1)
  tribez               (Score: 1)
  debug                (Score: 1)

--- CATEGORY: GOVERNMENT ---
  seur                 (Score: 2)
  netlify              (Score: 2)
  biznes               (Score: 2)
  podatki              (Score: 2)
  post                 (Score: 2)
  btech                (Score: 2)
  distributie          (Score: 2)
  serwis               (Score: 2)
  bezpieczny           (Score: 2)
  yanao                (Score: 1)
  tracking             (Score: 1)
  tuyenquang           (Score: 1)
  canada2023           (Score: 1)
  last                 (Score: 1)
  ngsp                 (Score: 1)
  colores              (Score: 1)
  mplis                (Score: 1)
  petra                (Score: 1)
  aniview              (Score: 1)
  platino              (Score: 1)

--- CATEGORY: HACKING ---
  livejasmin           (Score: 2)
  servers              (Score: 2)
  scmetrics            (Score: 1)

--- CATEGORY: MALWARE ---
  rubiconproject       (Score: 8)
  prod                 (Score: 4)
  krxd                 (Score: 3)
  amazonaws            (Score: 3)
  walmart              (Score: 3)
  west                 (Score: 2)
  deepintent           (Score: 2)
  iad2                 (Score: 2)
  onetag               (Score: 2)
  remove               (Score: 2)
  east                 (Score: 2)
  newrelic             (Score: 2)
  akadns               (Score: 2)
  lynx                 (Score: 2)
  criteo               (Score: 2)
  wikia                (Score: 2)
  cracked              (Score: 1)
  searchlinks          (Score: 1)
  aeventlog            (Score: 1)
  flow                 (Score: 1)

--- CATEGORY: NEWS ---
  vpptechnologies      (Score: 13)
  intellitxt           (Score: 5)
  gcirm                (Score: 5)
  vanderleystudios     (Score: 4)
  special              (Score: 4)
  appmetrica           (Score: 4)
  metrics              (Score: 4)
  warnermediacdn       (Score: 3)
  adtima               (Score: 3)
  live                 (Score: 3)
  yandex               (Score: 3)
  adrevolver           (Score: 2)
  stylevround          (Score: 2)
  zadn                 (Score: 2)
  canada               (Score: 2)
  innity               (Score: 2)
  socialblue           (Score: 2)
  lead                 (Score: 2)
  program3             (Score: 2)
  tracking             (Score: 2)

--- CATEGORY: PHISHING ---
  imrworldwide         (Score: 20)
  ddns                 (Score: 20)
  reservation          (Score: 10)
  security             (Score: 10)
  mybluehost           (Score: 10)
  windows              (Score: 8)
  user                 (Score: 8)
  zimbra               (Score: 8)
  logon04290           (Score: 8)
  vercel               (Score: 8)
  recursive            (Score: 6)
  recov                (Score: 6)
  support              (Score: 6)
  disnyplus            (Score: 6)
  adnxs                (Score: 5)
  ipko                 (Score: 4)
  info                 (Score: 4)
  information          (Score: 4)
  qhigh                (Score: 4)
  recovery             (Score: 4)

--- CATEGORY: PIRACY ---
  energy               (Score: 2)
  baner                (Score: 1)
  intellitxt           (Score: 1)

--- CATEGORY: PROXY ---
  minero               (Score: 3)
  express              (Score: 2)
  qlqd5zqefmkcr34a     (Score: 2)
  free                 (Score: 2)
  open                 (Score: 2)
  xmh57jrzrnw6insl     (Score: 1)
  darkfailllnkf4vf     (Score: 1)
  stir                 (Score: 1)
  pluto                (Score: 1)
  clusters             (Score: 1)
  impression           (Score: 1)
  service              (Score: 1)
  vkphotofqgmmu63j     (Score: 1)
  facebook             (Score: 1)
  image                (Score: 1)
  redirect             (Score: 1)
  vision               (Score: 1)
  rutorc6mqdinc4cz     (Score: 1)
  torrentzwealmisr     (Score: 1)
  torgatedga35slsu     (Score: 1)

--- CATEGORY: RELIGION ---
  bcdn                 (Score: 1)
  stats                (Score: 1)

--- CATEGORY: SCAM ---
  american             (Score: 2)
  center               (Score: 2)
  adjoe                (Score: 2)
  giftprizewinner      (Score: 2)
  zone                 (Score: 2)
  your                 (Score: 2)
  prod                 (Score: 1)
  int3rac              (Score: 1)

--- CATEGORY: SEARCH ---
  etargetnet           (Score: 9)
  spotxchange          (Score: 9)
  analytics            (Score: 8)
  beap                 (Score: 7)
  gemini               (Score: 6)
  sync                 (Score: 4)
  adserver             (Score: 3)
  query                (Score: 3)
  sin01                (Score: 3)
  advertising          (Score: 3)
  adspecs              (Score: 3)
  den01                (Score: 2)
  video                (Score: 2)
  login                (Score: 2)
  alfa                 (Score: 2)
  clean                (Score: 2)
  ttnet                (Score: 2)
  pclick               (Score: 2)
  c2shb                (Score: 2)
  docs                 (Score: 2)

--- CATEGORY: SHOPPING ---
  adsystem             (Score: 39)
  hut1                 (Score: 6)
  online               (Score: 6)
  treasure             (Score: 6)
  shengen              (Score: 6)
  sizeer               (Score: 6)
  assoc                (Score: 5)
  vicodin              (Score: 5)
  east                 (Score: 5)
  fruugo               (Score: 4)
  iscool               (Score: 4)
  vinted               (Score: 4)
  confirm              (Score: 4)
  xanax                (Score: 4)
  metrics              (Score: 3)
  retail               (Score: 3)
  direct               (Score: 3)
  cialis               (Score: 3)
  karnia               (Score: 2)
  polska               (Score: 2)

--- CATEGORY: SHORTENER ---
  iwanttodeliver       (Score: 8)
  ryberik              (Score: 2)
  oqdtmm               (Score: 2)
  text                 (Score: 2)
  advertising          (Score: 2)
  neura                (Score: 2)
  12monki              (Score: 2)
  mississippisteminstitute (Score: 2)
  site50               (Score: 1)
  hotkeys              (Score: 1)
  3o9s                 (Score: 1)
  theatlantic          (Score: 1)
  urlpage              (Score: 1)
  ixs1                 (Score: 1)
  crawler              (Score: 1)
  scan                 (Score: 1)
  updating             (Score: 1)
  ams900               (Score: 1)
  page                 (Score: 1)
  advconversion        (Score: 1)

--- CATEGORY: SOCIAL ---
  analytics            (Score: 3)
  audio                (Score: 2)
  safeashouses         (Score: 2)
  vodfilmy             (Score: 2)
  corvex               (Score: 2)
  scribe               (Score: 1)
  adsapi               (Score: 1)
  srvcs                (Score: 1)
  bidsystem            (Score: 1)
  janrain              (Score: 1)
  pointdrive           (Score: 1)
  adsymptotic          (Score: 1)
  lien                 (Score: 1)
  hara                 (Score: 1)
  runner               (Score: 1)
  rollingvideogames    (Score: 1)
  east                 (Score: 1)

--- CATEGORY: SPORTS ---
  metrics              (Score: 2)
  kitchen              (Score: 2)
  qatar                (Score: 2)
  data                 (Score: 1)
  zalo                 (Score: 1)
  stats                (Score: 1)
  oewabox              (Score: 1)
  data2                (Score: 1)
  wikaba               (Score: 1)
  yinzcam              (Score: 1)
  analytics            (Score: 1)
  fido                 (Score: 1)
  zeroclickfraud       (Score: 1)
  gdyn                 (Score: 1)
  smetrics             (Score: 1)
  hitbox               (Score: 1)
  demdex               (Score: 1)

--- CATEGORY: STREAMING ---
  sparta               (Score: 4)
  centrum              (Score: 2)
  adtimaserver         (Score: 2)
  plus                 (Score: 2)
  renew                (Score: 2)
  adtima               (Score: 2)
  filmbest             (Score: 2)
  premium              (Score: 2)
  premiumpay           (Score: 2)
  adipex               (Score: 2)
  intellitxt           (Score: 2)
  momgle               (Score: 2)
  apps                 (Score: 2)
  free                 (Score: 2)
  polska               (Score: 2)
  dexair               (Score: 2)
  moje                 (Score: 2)
  fyber                (Score: 2)
  devcamp              (Score: 2)
  pitbull              (Score: 2)

--- CATEGORY: TECH ---
  marketo              (Score: 94)
  immediate            (Score: 64)
  swrve                (Score: 42)
  imrworldwide         (Score: 25)
  analytics            (Score: 18)
  akadns               (Score: 15)
  online               (Score: 14)
  prod                 (Score: 13)
  effectivemeasure     (Score: 13)
  unity3d              (Score: 12)
  ipko                 (Score: 12)
  management           (Score: 10)
  static               (Score: 10)
  edgekey              (Score: 10)
  advertising          (Score: 10)
  platform             (Score: 10)
  ogury                (Score: 9)
  usebutton            (Score: 9)
  ampproject           (Score: 9)
  internal             (Score: 9)

--- CATEGORY: WEAPONS ---
  tripod               (Score: 1)
  paintball            (Score: 1)

--- CATEGORY: WEBMAIL ---
  click                (Score: 7)
  zimbra               (Score: 6)
  link                 (Score: 5)
  adtidy               (Score: 5)
  reifentrends         (Score: 4)
  convt                (Score: 2)
  advertising          (Score: 2)
  open                 (Score: 2)
  bsmiedzyrzec         (Score: 2)
  links                (Score: 2)
  uaexp                (Score: 2)
  mtrcs                (Score: 2)
  laugh                (Score: 2)
  online               (Score: 2)
  tsrv1                (Score: 2)
  admin                (Score: 2)
  extranet             (Score: 2)
  room                 (Score: 2)
  trkx                 (Score: 2)
  domsearch            (Score: 1)

